,WeatherAthenryProcessed_wdsp^3_sim2,WeatherAthenryProcessed_glorad_sim2,WeatherFinnerProcessed_wdsp^3_sim2,WeatherFinnerProcessed_glorad_sim2
01-01,529.4328151546406,0.8632138925349541,12601.634034240302,0.35540841698179154
01-02,2484.8640979979073,0.3306157131700795,395.2021961231064,0.08499851756246303
01-03,246.47150631211687,0.9940193254170807,14087.000653024617,0.4946805026570093
01-04,0.3245150081107449,0.5144509819111927,478.0384289799097,0.004769999691006968
01-05,450.6619430758508,0.1055488556080432,1105.3891643939166,0.8598943721939123
01-06,53.67593244815284,0.48845368714961135,5216.397406362365,0.015975561322565612
01-07,114.15964156332936,0.053619609596462794,1245.755538901519,0.63102002702449
01-08,884.8697614677611,0.8457568997635219,44.90379896369262,0.9924845704532288
01-09,778.5908232873629,0.8354054091991182,147.05503277529493,0.8776217618994511
01-10,96.40599375173876,0.5891084933369867,9755.09477722302,0.2240988800250553
01-11,2244.445946376361,0.6842967852924059,296.45820410656313,0.988749750886184
01-12,576.9461855420176,0.8324339233727764,271.08676742241124,0.7196385205276308
01-13,773.5875141488038,0.005733917155661598,355.7490077143599,0.19147105850611085
01-14,504.57226056062206,0.4181515542931215,5.709415887304136,0.7826832250273412
01-15,33.674167555680434,0.8459117680137606,1990.6596025134716,0.7734271426991628
01-16,18.712758160101526,0.008545872648660604,2.7662481381151363,0.011023840403408355
01-17,124.90877042547349,0.5822591957416596,6127.975998448786,0.04120058912253264
01-18,61.66877298826486,0.10284864139882241,1395.0982400404177,0.9900209551912298
01-19,575.1093499904633,0.9542486669073651,192.59537575481173,0.9997185134851085
01-20,861.4492757815951,0.47777489083855806,10.4511878553023,0.7111719864555152
01-21,479.013333087578,0.4758452552654986,264.6927992637701,0.8788722002462054
01-22,537.1343525102449,0.8853330104598831,852.7724735874252,0.006107173183195975
01-23,29.644020277736544,0.5703707198095931,229.1140045736078,0.22012233733057476
01-24,690.1786834938548,0.631295735816794,1171.354556903323,0.17431411241427294
01-25,536.0130029904042,0.35773209903378594,3066.063267268241,0.3624913943720209
01-26,3377.831565643212,0.8159977105732046,629.0484725788452,0.25352453106466444
01-27,457.6889185313199,0.7639845803453555,3489.778767741578,0.1709756524110561
01-28,14125.644064609705,0.29678150992495317,417.85942809646144,0.08251724620579298
01-29,1648.4513644156257,0.8495373647865678,5824.787221572084,0.7520490607992029
01-30,2190.777425284913,0.47629218019600067,7572.454793730243,0.013077186890244017
01-31,840.3059666661071,0.46268272060565346,1946.3382515710487,0.39537392013554035
02-01,601.2729606528015,0.6795969140672266,11612.934588514636,0.665575711532418
02-02,1974.678904637835,0.9373626794975377,6920.852819857584,0.28135622093644325
02-03,1063.2695692445614,0.21343703282095716,2171.1094021794615,0.8973517766549413
