,WeatherAthenryProcessed_wdsp^3_sim5,WeatherAthenryProcessed_glorad_sim5,WeatherFinnerProcessed_wdsp^3_sim5,WeatherFinnerProcessed_glorad_sim5
01-01,2354.776599714093,0.6428015860945309,3028.7967549382874,0.028763499886920566
01-02,941.1574138508884,0.3663577214035242,14937.63952540724,0.3700285761074643
01-03,231.75184390579906,0.8100821254453857,341.60375534591753,0.006295899617849239
01-04,733.6442809798731,0.3825172867389602,5514.205870325586,0.28089077569518883
01-05,1179.3143386687796,0.17284135547992346,3692.2536230783953,0.24649224222002675
01-06,92.8634645018315,0.24946450493754044,859.3173173577145,0.1047117297520528
01-07,1527.3251130449773,0.7885849135624368,49.232889784661126,0.8960053097650791
01-08,122.88665240927638,0.1934267171332405,963.4411781185039,0.046896657679999454
01-09,17.935065961494395,0.27385766426224717,333.0417358114278,0.038663545579236236
01-10,2679.04742627748,0.06193014709896354,146.8113323148399,0.4983876746669818
01-11,300.8382519507952,0.7857381154734868,7079.18015098853,0.6113814194522128
01-12,3708.4648819917925,0.3507858457279903,23.423093317308293,0.0061359029870459506
01-13,619.9647048420167,0.08943887159232174,1815.8696815627475,0.9876393280334523
01-14,405.3837847444241,0.9841505269393998,309.88028793390055,0.9972662597077621
01-15,429.53033459100493,0.0897471043441842,1273.1285143897333,0.5758514763751776
01-16,750.2804947402838,0.00034973670423361686,28.1936332503275,0.022589088435531333
01-17,119.38247024924983,0.8000271670926655,1817.4059043749096,0.6431630991906023
01-18,3.6782597969968647,0.14397149640530568,2140.755857588791,0.010039463100619024
01-19,3.3471748951713387,0.8565673182996489,1173.855829383625,0.8804799823865819
01-20,114.65860009784178,0.6613643563556049,15.771121940932725,0.07504854436184252
01-21,2306.0767575772566,0.5501922155136703,10679.661057734353,0.056204844008681705
01-22,421.2062226840867,0.36475032894946313,3072.344467992103,0.4197560410065324
01-23,0.026466161173390203,0.8940023860339517,499.02466882327326,0.35821613564316357
01-24,1.4562266981095113,0.7539821722145116,3071.2965160186036,0.19599396246614018
01-25,132.2104071242047,0.8859952352217533,687.7825962391216,0.000544944267232641
01-26,57.28633247490263,0.6666840442490416,6722.262456738845,0.7357608447798389
01-27,518.1301568354039,0.15700487352512366,1624.0130247594539,0.0809322686298567
01-28,743.2646019289239,0.17246814971489377,13.478569131271476,0.7706615347716375
01-29,100.14765338482495,0.9834671068237082,30305.568409614127,0.05310480728213575
01-30,188.4336473663134,0.14271567673019817,363.31596420909807,0.38476766839106064
01-31,1047.7005033049581,0.035754111989862856,974.8979816759634,0.06163521592649401
02-01,3397.698897205153,0.09838062069206219,10662.427254760365,0.002880196762936014
02-02,55.43278152303765,0.7259906646189732,3687.8267939849975,0.7058116290414563
02-03,602.2610707923888,0.0061554547045488866,316.5692210795639,0.7321924749511947
02-04,151.64018510299962,0.7779847670463608,4251.906746543334,0.7499151084652185
02-05,200.19845711049774,0.3411919052233274,562.0440083067613,0.5581556442498178
02-06,559.870982749059,0.026815370975065374,2091.1358229552866,0.7971841002218273
02-07,452.9457495323766,0.32809905105355136,1138.776345284048,0.011898452112211447
02-08,178.74771086478813,0.9923868467719089,2989.3629810701195,0.5213797549250144
02-09,279.9648308406345,0.9898125875831312,542.9996463183094,0.5666384619794849
02-10,218.58963889588395,0.05222544576647878,2416.3225398797294,0.3410982412494563
02-11,334.29720291750493,0.004920544171574163,7.0781870508719,0.9987545473546864
02-12,621.1632381408244,0.853812330154317,2126.584615628184,0.2866395850745524
02-13,410.9907213472516,0.04373528758444484,1171.0154694409646,0.16206519173324194
02-14,2602.420302010115,0.010386385764540467,743.2485584845231,0.544206951389491
02-15,565.6582333864981,0.046209364308005846,3438.653457288144,0.15199908010215932
02-16,1686.4000148959253,0.10583074555873395,2445.804109259366,0.8818637390857229
02-17,18.45138489784993,0.7672546055465307,1502.2712730441647,0.024681867026306717
02-18,27.43420905788196,0.7343174390920943,1823.6769115095021,0.39121572240948377
02-19,448.22868151256336,0.03424277429402454,3643.9783448773246,0.9226652388517635
02-20,912.3344472406717,0.8688992528609729,4938.08231324118,0.7790742291327166
02-21,633.2331321855269,0.05664262996020998,925.6018780688172,0.07510930504673946
02-22,2681.621550116133,0.17459178223006375,5941.99605551668,0.0009481639891883566
02-23,4389.468943657365,0.2910249541603269,433.0825397173662,0.19742430692414048
02-24,559.2941323706913,0.30380556894909416,3738.230162370147,0.9570275162690339
02-25,449.7053346321766,0.07058602219713639,802.4630010974367,0.1337826512393558
02-26,50.11705584373336,0.6979382397022499,6419.194596320686,0.4213825393491884
02-27,285.29887915201266,0.6230611238545998,1821.7412937837107,0.11524129747038656
02-28,555.4059031905641,0.030986726968689263,1937.7974760750312,0.11918567039972888
02-29,4852.265190103509,0.6764972117449138,660.6849024727331,0.015124003667960668
03-01,1077.2917454404937,0.9727274615057954,352.08518934637345,0.8941578086216672
03-02,768.2624296870381,0.3256818759901939,1804.6028598106907,0.6147551723123433
03-03,455.8350232430454,0.7530464453963794,2289.4725184735203,0.008754499156080332
03-04,85.35998931009179,0.08433557300001991,44.909504062607745,0.013020789403081393
03-05,69.75822414532212,0.6051210929184812,78.11513654217445,0.0007428685325446956
03-06,720.6544353587439,0.4610587191935937,1830.12320440722,0.6012768466399229
03-07,431.3475393078396,0.05341216359716619,676.1261974878968,0.5373185406479201
03-08,653.2046921910079,0.14484228625519285,4141.398677883306,0.4879017171261973
03-09,806.841880712965,0.06020981302246078,4659.094647857225,0.020617354088438438
03-10,14.90140956378051,0.7056000512525517,1237.671959979131,0.6733952332598386
03-11,20.057490408225807,0.7610846607588821,1053.0305055220574,0.47903057955381895
03-12,1461.9498260473792,0.9899201571658557,1222.1634045179921,0.9995852493079699
03-13,138.38000158935003,0.3516587919869408,1358.5664443337191,0.34486924274867486
03-14,197.4098667215611,0.6443275778246511,220.93597094422483,0.8674465646957213
03-15,424.3013363098331,0.3018358284377428,2159.956105139118,0.028672826905245228
03-16,35.497145794612855,0.43953986059447814,1691.6463686244788,0.5034892927017788
03-17,905.8843466936308,0.5914847531611568,3362.26284661571,0.8971720475453352
03-18,682.9990456816464,0.08614714439376202,616.8938530865156,0.0720271869791619
03-19,30.976897140967154,0.990182607054962,488.7890411675233,0.3063175343609033
03-20,464.04698968851346,0.9875555499312081,451.54463571636927,0.2802175342310052
03-21,748.3605758696974,0.06266447936299717,3318.691583330301,0.22385083073334078
03-22,4074.679250568903,0.9449691994146611,4021.118906903182,0.5187788225398687
03-23,53.778633399585935,0.9819765895500072,635.7174556394243,0.047126444191231534
03-24,14.246732530450682,0.10824693207785006,731.537463449158,0.16229219362055067
03-25,1112.3152815420228,0.34047888524880976,1088.2777036039602,0.023906461079897832
03-26,274.4369958748289,0.9281958983690075,69.65068662844982,0.2974359359714747
03-27,17.215298466349015,0.3371722472562605,174.64798781011723,0.9717037884241216
03-28,4496.547009463628,0.3134356610455947,1496.0344865538914,0.9973756020456435
03-29,197.9698777246966,0.381115646019456,89.0750470899744,0.2455599281925785
03-30,1664.2111227560424,0.9967987719595167,637.3739933814444,0.7553068844194794
03-31,1061.6385887187928,0.9994965515042779,176.74796731321715,0.7989132946904262
04-01,769.5491802956537,0.7441247318706207,2571.3393982406237,0.3072750684293008
04-02,611.9008046811838,0.013793806562213134,2642.604170864882,0.3375544504212475
04-03,3617.258443283485,0.8657813110655856,3193.975621893298,0.7801545619128475
04-04,521.8205201202609,0.005630145104874973,1406.491333666878,0.6934838288206185
04-05,1940.75773774184,0.9908729219718275,2135.930816919261,0.9730930923703052
04-06,2089.160854567137,0.8956407341238607,2161.0614632975758,0.9993897808297382
04-07,6.1290344230046605,0.3178251756679641,592.4095679220975,0.21730555051810582
04-08,359.9693778843158,0.01774496341084991,417.6789994141479,0.5282504181605397
04-09,48.349122148366725,0.6710282988220715,94.70501358252663,0.807025012441717
04-10,48.98893533587849,0.6177332640895566,1021.6960849642753,0.18375214967643919
04-11,262.10653862606296,0.00032711646966355253,271.38756868196833,0.13670357055317406
04-12,468.39414137396443,0.5164481020638562,2537.6425847468226,0.07974267509142738
