,WeatherAthenryProcessed_wdsp^3_sim3,WeatherAthenryProcessed_glorad_sim3,WeatherFinnerProcessed_wdsp^3_sim3,WeatherFinnerProcessed_glorad_sim3
01-01,497.29306845213296,0.005601554404772074,40.95858539950601,0.999830209827448
01-02,118.4919511810197,0.13070166555203722,3114.521634933211,0.12761952341075286
01-03,4367.195265764571,0.785601326664136,1738.7850961280906,0.9613223888353964
01-04,156.15476170661609,0.1046601629278818,306.0691781970512,0.5345182851435735
01-05,490.4950933712867,0.20041996226490805,4670.8049242764455,0.7212265913226902
01-06,2719.0416991079906,0.457762438934168,421.897132785235,0.9131813927496034
01-07,1682.2546339701457,0.9300813465271596,780.5447902527343,0.9667680136924077
01-08,401.92316690070834,0.6827447809548595,3670.507490600095,0.9703833193526463
01-09,352.865424676769,0.21689132093517155,2757.015168287455,0.39845699896742354
01-10,691.0863638391316,0.9147832678800036,15.85502247940486,0.1739293285179316
01-11,4240.336494529247,0.271372288626803,20.788497004225512,0.7475146296382347
01-12,911.9135560829098,0.28105911040116327,1873.3248506635541,0.6405499628275962
01-13,33.60642103492167,0.5519339692716153,395.35753689217944,0.8612526706394711
01-14,2060.1094723039373,0.9006086218913442,113.64095540102285,0.7675087300660332
01-15,2925.584383157494,0.0013619107459957838,587.2079536597113,0.49778440368674554
01-16,81.87697066396798,0.9748933731884389,1768.4726611887868,0.9684666509268373
01-17,469.7867939275627,0.9651521509598472,313.5623124923761,0.19037666501352468
01-18,50.951788782841874,0.8659682677486772,747.9999831978928,0.5628344788545186
01-19,184.82884029503492,0.002817149972937529,55.103561714484165,0.6364063555390397
01-20,58.22285069359308,0.8517607331479998,1573.321053160045,0.9783433681019303
01-21,1005.2158801354079,0.871803230677901,33219.99824281992,0.7444341253870631
01-22,309.82631237868173,0.9557052766077245,9772.681157517516,0.7530665483187923
01-23,1487.3117869830796,0.766614355285448,492.02244233814184,0.17093306127222144
01-24,1281.5142577333304,0.9605108140529662,958.9982120112501,0.46273240947926764
01-25,416.69930663033216,0.4046792999820547,3239.79271067565,0.08448050564571442
