Station_Parameter,Optimal_Weight
WeatherAthenryProcessed_wdsp^3,9.276649059553165
WeatherAthenryProcessed_glorad,1.4929636725137243
WeatherFinnerProcessed_wdsp^3,0.0
WeatherFinnerProcessed_glorad,1.4928452744934475
