Iteration,Loss
0,3463.776034130377
1,2932.621290599622
2,2217.053122095846
3,2447.9673192317896
4,2194.0439967700627
5,2416.2911073969944
6,2199.7553854524976
7,2441.8121734780543
8,2248.12598740862
9,2382.233829291212
10,2225.767926544269
11,2393.20939850315
12,2245.407533690966
13,2413.904096957392
14,2243.872583757172
15,2457.002968067199
16,2307.837056975952
17,2537.6440622071614
18,2279.567982408153
19,2514.510283467528
20,2296.7025053725974
21,2537.0281473308532
22,2283.232173780567
23,2605.6585757264884
24,2319.414807264542
25,2682.918149961004
26,2301.347704570298
27,2579.7285070632697
28,2323.6863539844576
29,2672.2274973734707
30,2318.821133589525
31,2674.221930537481
32,2313.9559104275086
33,2676.2163779422767
34,2309.090701665225
35,2678.287426036935
36,2317.5698106107743
37,2667.0631595265727
38,2326.1214520085196
39,2716.6272702551196
40,2273.9874648526966
41,2705.4030222140345
42,2282.466593096809
43,2694.178754843134
44,2290.945690513977
45,2682.9545000771755
46,2299.42480136762
47,2671.73023100691
48,2308.610095039643
49,2866.1323127714318
50,2266.1280031454266
51,2700.5460793811867
52,2290.2029409530664
53,2819.1011187570525
54,2260.578528169469
55,2784.6669578941514
56,2293.386225761675
57,2874.899602153845
58,2281.392458785582
59,2885.517132874549
60,2269.54942496933
61,2770.894658915762
62,2303.3778247306423
63,2928.5002319307055
64,2268.849852751355
65,2894.0160266332928
66,2270.4264515094337
67,2841.0440219276866
68,2289.0905515966024
69,2939.267347865783
70,2269.0290319808187
71,2907.413880878438
72,2253.862725617894
73,2854.3717684338476
74,2272.332256089541
75,2902.1467783591847
76,2267.231461566523
77,2906.3997864751514
78,2262.130653385154
79,2910.6527918037364
80,2257.0298323439674
81,2914.9058112353114
82,2252.019391836732
83,2882.7769633538783
84,2267.4025608320576
85,2938.950912219581
86,2246.993821809478
87,2841.143401703447
88,2294.116703618677
89,3035.88686939844
90,2286.14464905934
91,3005.6500121561467
92,2283.347654939784
93,3008.115880955009
94,2274.799104539513
95,2929.1851340871244
96,2244.826449729443
97,2796.7878421973555
98,2251.719404492278
99,2861.43961789834
100,2242.8280487592933
101,2798.1990865673483
102,2236.386317058087
103,2804.536893774775
104,2231.68676802265
105,2809.203086196905
106,2229.1352850461094
107,2811.7376259129446
108,2226.5837975057716
109,2814.272206366225
110,2224.0323053973607
111,2816.8067674286553
112,2221.4808214892078
113,2819.341307927994
114,2218.9485771499294
115,2758.040797180419
116,2218.5802329630887
117,2758.4081426776766
118,2218.2118834214775
119,2758.775516418922
120,2217.8435294045153
121,2759.1428444305902
122,2217.475174476262
123,2759.510207614321
124,2217.1068257948664
125,2759.8775655211302
126,2216.7384744733463
127,2760.2449330673785
128,2216.3701213271856
129,2760.6122839836594
130,2216.001769994988
131,2760.9796330453482
132,2215.6334114813003
133,2761.3469778540452
134,2215.26506103908
135,2761.714344560395
136,2214.8967043138323
137,2762.0816866236833
138,2214.528358366234
139,2762.449021571114
140,2214.1600079177074
141,2762.8164023276563
142,2213.7916610843517
143,2763.1837619651556
144,2213.4233043953295
145,2763.551096912562
146,2213.0549512640905
147,2763.9184733574507
148,2212.6865963486234
149,2764.2858084705645
150,2212.318236027339
151,2764.653181477533
152,2211.9498820103663
153,2765.0205260670496
154,2211.581538751831
155,2765.3878777644945
156,2211.2131784603257
157,2765.7552577645656
158,2210.8448343160803
159,2766.1226076622
160,2210.4764785020834
161,2766.4899215636988
162,2210.108129863224
163,2766.8572979420014
164,2209.7397802939972
165,2767.2246636532104
166,2209.3714155186326
167,2767.5920244593103
168,2209.003065972814
169,2767.95936636475
170,2208.634719137346
171,2768.326732164615
172,2208.2663713821144
173,2768.6940873977774
174,2207.898012849308
175,2769.061412772381
176,2207.529671408994
177,2769.4287784561297
178,2207.1613227743974
179,2769.7961160329196
180,2206.7929705606844
181,2770.1634642429444
182,2206.424621021196
183,2770.5308308971785
184,2206.056272375976
185,2770.8981666923855
186,2205.6879264155646
187,2771.265535186803
188,2205.3195705866815
189,2771.6328825621476
190,2204.951221066356
191,2772.0002553604354
192,2204.5828589906655
193,2772.3676080999808
194,2204.2145067748625
195,2772.734963369699
196,2203.84614916608
197,2773.102332808369
198,2203.4777924153404
199,2773.4696749916716
200,2203.109437470086
201,2773.8370451815804
202,2202.7410843324155
203,2774.204397931588
204,2202.372728507797
205,2774.5717479440436
206,2202.00801195003
207,2713.0435884152735
208,2198.0674876659837
209,2665.9765152024806
210,2195.9064809469755
211,2603.7081018012855
212,2192.3262224784316
213,2607.2512953946693
214,2188.745959723993
215,2610.807579976867
216,2188.6627666827635
217,2610.8899716560695
218,2188.5795701918178
219,2610.9723633231292
220,2188.4963771254234
221,2611.054740624085
222,2188.4131832186567
223,2611.137124647631
224,2188.3299884400044
225,2611.219508768367
226,2188.246797970266
227,2611.3018885836623
228,2188.1636006472863
229,2611.384273542583
230,2188.0804024420354
231,2611.4666694408675
232,2187.99721280432
233,2611.549051802694
234,2187.914018891248
235,2611.6314206410852
236,2187.830819807816
237,2611.7138149591324
238,2187.747625877933
239,2611.796222707067
240,2187.664425098943
241,2611.8786077247187
242,2187.5812337594734
243,2611.960974019015
244,2187.498030423739
245,2612.0433649367774
246,2187.414834775333
247,2612.125762507563
248,2187.3316511400344
249,2612.208146495197
250,2187.248455537745
251,2612.2905180206026
252,2187.165246170267
253,2612.37290559563
254,2187.082052267694
255,2612.4552947581337
256,2186.9988617812223
257,2612.537682175977
258,2186.915661006538
259,2612.620090854364
260,2186.832455118091
261,2612.7024665726717
262,2186.7492611882044
263,2612.78485317291
264,2186.6660681511685
265,2612.867243147131
266,2186.5828673554884
267,2612.9496289823246
268,2186.4996708540666
269,2613.0320122913377
270,2186.416478644817
271,2613.114417477005
272,2186.3332744497334
273,2613.1968032151794
274,2186.2500899551255
275,2613.2791704254546
276,2186.1668883063817
277,2613.36155462418
278,2186.08369868548
279,2613.4439369008437
280,2186.000497914963
281,2613.526330378489
282,2185.917306575531
283,2613.6087135555463
284,2185.8341083869914
285,2613.691085885641
286,2185.750905038566
287,2613.773476774629
288,2185.667717094239
289,2613.8558692834877
290,2185.5845180380056
291,2613.9382626171982
292,2185.5013258413637
293,2614.0206399984922
294,2185.4181250456736
295,2614.1030562723504
296,2185.334924281418
297,2614.1854446243556
298,2185.25172949855
299,2614.2678236469874
300,2185.1685355917502
301,2614.3501900299893
302,2185.0853339598666
303,2614.432604544974
304,2185.002134059057
305,2614.5149810713892
306,2184.918938425353
307,2614.5973677543684
308,2184.835739377548
309,2614.679757765808
310,2184.752550630566
311,2614.762117290678
312,2184.6693618899026
313,2614.8445088870862
314,2184.586163701398
315,2614.9268905008516
316,2184.502968073921
317,2615.009288063418
318,2184.419771606
319,2615.091636671566
320,2184.3365871344763
321,2615.1740249324184
322,2184.253386357625
323,2615.2564605578764
324,2184.170181290687
325,2615.3388269829675
326,2184.0869856568956
327,2615.4212280237057
328,2184.0037900252146
329,2615.5036036604706
330,2183.920587538194
331,2615.586010651729
332,2183.837393593695
333,2615.668371949764
334,2183.75419709649
335,2615.750769592641
336,2183.6709954750804
337,2615.833172253174
338,2183.5878006818043
339,2615.915529354823
340,2183.504602465956
341,2615.997936293438
342,2183.421405993858
343,2616.0803186517064
344,2183.3382129316456
345,2616.162712057369
346,2183.255011293468
347,2616.245091196401
348,2183.1718113738207
349,2616.327473606153
350,2183.0886183199827
351,2616.409877110919
352,2183.005421843704
353,2616.492262071037
354,2182.9222219303615
355,2616.5746327043807
356,2182.8390211514493
357,2616.6570168658573
358,2182.7558306796113
359,2616.739418611685
360,2182.6726384725052
361,2616.8217993044636
362,2182.589441120192
363,2616.9041986536217
364,2182.5062463477866
365,2616.9865683132984
366,2182.423044692828
367,2617.0689457449735
368,2182.3398542189548
369,2617.151328106737
370,2182.256656015783
371,2617.233712261068
372,2182.1734603862155
373,2617.316099714968
374,2182.0902698976633
375,2617.3984955090136
376,2182.007069148087
377,2617.4808881905215
378,2181.923864074861
379,2617.5632808648807
380,2181.8406667162753
381,2617.6456675189747
382,2181.7574693576903
383,2617.728055948955
384,2181.6742634419666
385,2617.810445993739
386,2181.5910617807385
387,2617.8928462191193
388,2181.507872120038
389,2617.975221864182
390,2181.424665351295
391,2618.057597619775
392,2181.341473148384
393,2618.1400086299677
394,2181.2582852145874
395,2618.2223893275254
