Iteration,WeatherAthenryProcessed_wdsp^3,WeatherAthenryProcessed_glorad,WeatherFinnerProcessed_wdsp^3,WeatherFinnerProcessed_glorad
0,1.0,1.0,1.0,1.0
1,3.556027043283393,1.0050773633120116,8.34700260181853,1.0051091683417326
2,1.7233029737108154,1.0024821110855555,2.7487846162111964,1.0024909058993217
3,3.551886523178837,1.0069935185820214,7.432167356251739,1.0070464238888235
4,2.0609037417452782,1.0052820632845396,2.666241732891649,1.0053223448048811
5,3.8593766501217033,1.0097782685770653,7.269337090998306,1.00986224222288
6,2.3772199372397154,1.008101856110443,2.5303921145459753,1.0081705366028473
7,4.20580349125521,1.0126132454170147,7.213774813659256,1.012726027307508
8,2.653699296184641,1.010752219168353,2.3191568041293067,1.0108527001430048
9,4.482282900222344,1.0152636766870273,7.002539580549637,1.0154082681547152
10,2.9854510628647404,1.0135537993628532,2.2373610661597922,1.013681928976439
11,4.814034625975182,1.018065188669425,6.920743778915494,1.0182374242285732
12,3.2787004309066106,1.0162603510034387,2.0819309500220697,1.016416697690147
13,5.1275004332419485,1.0207916946237674,6.863788242095325,1.0210032612812938
14,3.571707523202349,1.0189306501852116,1.9718975798023166,1.0191289882423007
15,5.444634660103475,1.0234903700402356,6.8483833163336385,1.0237434142036363
16,3.7948667093369295,1.0214159035749617,1.7591561507069855,1.021631999516103
17,5.729310735456238,1.0260418210018543,6.912910728511633,1.0263216816165368
18,4.037379970010079,1.0238529764828854,1.7233933320094366,1.0240949520957656
19,5.95057297484891,1.0284449333776138,6.7961929678640445,1.0287521788777667
20,4.258642213950225,1.026256070668751,1.6066755531719537,1.0265254402620485
21,6.19308623552206,1.030881992643117,6.7604301036917605,1.0312151041725883
22,4.491152006063203,1.0286637396129663,1.5456365079226089,1.0289663830699283
23,6.443655759336252,1.0333045409206534,6.808012851957756,1.0336765697284136
24,4.660175566437829,1.030921296456654,1.41447935927863,1.0312514475808712
25,6.664942427756614,1.0356062582795857,6.876245149920578,1.0359804334948421
26,4.831783506029751,1.0330924603986205,1.3848191818178748,1.0334574906446505
27,6.784287254755327,1.037733248063887,6.647195530400495,1.0381677000405034
28,5.010613097307214,1.0353706445821445,1.2780210888886359,1.0357465478373342
29,7.015379949531052,1.040055588215182,6.739786870435637,1.0404755064664641
30,5.172330732217233,1.0375160789189977,1.2275659198858193,1.0379280072593247
31,7.177097561703704,1.0422010270995088,6.689331674147979,1.0426569658884546
32,5.334048380769673,1.039661549635639,1.1771107508830028,1.0401094985136297
33,7.338815223898564,1.044346461436362,6.638876486955269,1.044838461690233
34,5.4957660566069535,1.0418070021623862,1.1266555455003981,1.0422910079578287
35,7.500532908830792,1.0464919230580563,6.588421299762558,1.047019962039485
36,5.645651883947721,1.0439329915025155,1.0561110664420994,1.0444553461420583
37,7.650418713434192,1.0486179351355531,6.517876811609312,1.0491843047711882
38,5.795537652171333,1.0460589717476978,0.9855665828363271,1.0466196752313408
39,7.83069119531865,1.0507745971844997,6.547023038161569,1.051372639973124
40,5.975810174983053,1.0482156792713795,1.014712809388584,1.0488080468130647
41,7.980577004469524,1.052900622904417,6.476478581840638,1.0535370281795622
42,6.125695943206665,1.0503416868014028,0.9441683166878647,1.0509723759023473
43,8.13046279088303,1.0550266395293875,6.405934098234866,1.0557013572688447
44,6.275581765999959,1.0524676943314262,0.8736238603669335,1.0531367413714179
